Type of Incident,Type  Location,Year of Incident,Location1,Zip Code,Update Date,Latitude,Longitude,Day of Week
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"2900 N HENDERSON AVE
DALLAS, TX 75206
(32.820198, -96.784675)",75206,9/8/2014 13:58,32.820198,-96.784675,Monday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,Parking Lot (All Others),2016,"1521 N COCKRELL HILL RD
DALLAS, TX 75211
(32.763549, -96.895452)",75211,8/11/2016 8:23,32.763549,-96.895452,Thursday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,Parking Lot (All Others),2014,"4800 S LANCASTER RD
DALLAS, TX 75216
(32.690493, -96.791435)",75216,2/19/2018 4:12,32.690493,-96.791435,Monday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"5327 RICHARD AVE
Dallas, TX 75201
(32.819188, -96.77877)",75201,2/19/2018 16:12,32.819188,-96.77877,Monday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2016,"1700 ALLIPSCOMB WAY
DALLAS, TX 75215
(32.764287, -96.780333)",75215,12/30/2016 9:50,32.764287,-96.780333,Friday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,Motor Vehicle,2014,"9800 SCYENE RD
DALLAS, TX 75227
(32.76223, -96.652727)",75227,10/14/2014 14:42,32.76223,-96.652727,Tuesday
ACCIDENT INVOLVING SERIOUS BODILY INJURY,"Highway, Street, Alley ETC",2018,"9300 GARLAND RD
DALLAS, TX 75218
(32.831134, -96.705252)",75218,11/28/2018 14:37,32.831134,-96.705252,Wednesday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"11900 AUDELIA RD
DALLAS, TX 75243
(32.91088, -96.718053)",75243,2/19/2018 17:44,32.91088,-96.718053,Monday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"4200 S WESTMORELAND RD
DALLAS, TX 75233
(32.692324, -96.880176)",75233,10/10/2014 10:27,32.692324,-96.880176,Friday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,Parking Lot (All Others),2014,"3434 W ILLINOIS AVE
DALLAS, TX 75211
(32.720256, -96.87734)",75211,2/19/2018 20:56,32.720256,-96.87734,Monday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,Parking Lot (All Others),2014,"2843 E LEDBETTER DR
DALLAS, TX 75216
(32.694029, -96.773248)",75216,2/20/2018 10:44,32.694029,-96.773248,Tuesday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,Other,2015,"900 W MOCKINGBIRD LN
DALLAS, TX 75247
(32.813354, -96.873536)",75247,7/24/2015 2:20,32.813354,-96.873536,Friday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"1700 N COCKRELL HILL RD
DALLAS, TX 75212
(32.768022, -96.895947)",75212,10/19/2014 17:00,32.768022,-96.895947,Sunday
ACCIDENT INVOLVING DEATH,"Highway, Street, Alley ETC",2015,"9800 WEBB CHAPEL RD
DALLAS, TX 75220
(32.871416, -96.864619)",75220,12/1/2018 9:37,32.871416,-96.864619,Saturday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"8200 PARK LN
DALLAS, TX 75231
(32.871642, -96.764751)",75231,2/20/2018 9:23,32.871642,-96.764751,Tuesday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2015,"753 W ILLINOIS AVE
DALLAS, TX 75224
(32.720411, -96.83605)",75224,9/14/2015 9:24,32.720411,-96.83605,Monday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2016,"1400 W MOCKINGBIRD LN
DALLAS, TX 75247
(32.821625, -96.865038)",75247,2/29/2016 13:16,32.821625,-96.865038,Monday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2015,"2700 LEMMON AVE
DALLAS, TX 75204
(32.803962, -96.795009)",75204,4/23/2015 17:22,32.803962,-96.795009,Thursday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2016,"3000 N HAMPTON RD
DALLAS, TX 75212
(32.778958, -96.856459)",75212,7/20/2016 13:16,32.778958,-96.856459,Wednesday
ACCIDENT INVOLVING INJURY,Outdoor Area Public/Private,2016,"2900 S POLK ST
DALLAS, TX 75224
(32.714825, -96.839988)",75224,11/10/2016 14:08,32.714825,-96.839988,Thursday
ACCIDENT INVOLVING INJURY,Other,2015,"3110 E LEDBETTER DR
DALLAS, TX 75216
(32.696938, -96.767173)",75216,10/14/2015 11:29,32.696938,-96.767173,Wednesday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"5100 S HAMPTON RD
DALLAS, TX 75232
(32.68335, -96.856953)",75232,2/20/2018 9:30,32.68335,-96.856953,Tuesday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"3550 ST FRANCIS AVE
DALLAS, TX 75228
(32.797525, -96.692611)",75228,2/19/2018 17:39,32.797525,-96.692611,Monday
ACCIDENT INVOLVING SERIOUS BODILY INJURY,"Highway, Street, Alley ETC",2015,"3700 S BUCKNER BLVD
DALLAS, TX 75227
(32.768757, -96.682626)",75227,2/18/2018 15:24,32.768757,-96.682626,Sunday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,Parking Lot (All Others),2015,"9229 JOHN W CARPENTER FWY
DALLAS, TX 75247
(32.826619, -96.885266)",75247,5/23/2017 11:05,32.826619,-96.885266,Tuesday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2016,"8200 PARK LN
DALLAS, TX 75231
(32.871642, -96.764751)",75231,12/23/2016 8:45,32.871642,-96.764751,Friday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"2100 E LEDBETTER DR
DALLAS, TX 75216
(32.686538, -96.788446)",75216,2/19/2018 3:48,32.686538,-96.788446,Monday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"150 W LAWSON RD
DALLAS, TX 75253
(32.699419, -96.574209)",75253,9/10/2014 17:52,32.699419,-96.574209,Wednesday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2014,"2100 E LEDBETTER DR
DALLAS, TX 75216
(32.686538, -96.788446)",75216,8/26/2014 1:03,32.686538,-96.788446,Tuesday
ACCIDENT INVOLVING SERIOUS BODILY INJURY,Outdoor Area Public/Private,2017,"4200 GREAT TRINITY FOREST WAY
DALLAS, TX 75216
(32.701888, -96.750487)",75216,11/29/2018 16:03,32.701888,-96.750487,Thursday
ACCIDENT INVOLVING SERIOUS BODILY INJURY,"Highway, Street, Alley ETC",2016,"1500 STOREY LN
DALLAS, TX 75220
(32.851922, -96.887526)",75220,5/7/2016 21:54,32.851922,-96.887526,Saturday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2016,"9300 WALNUT ST
DALLAS, TX 75243
(32.92308, -96.740216)",75243,10/31/2016 0:03,32.92308,-96.740216,Monday
ACCIDENT INVOLVING DEATH,"Highway, Street, Alley ETC",2015,"8400 LAKE JUNE RD
DALLAS, TX 75217
(32.734139, -96.676302)",75217,2/18/2018 13:06,32.734139,-96.676302,Sunday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,Outdoor Area Public/Private,2015,"5000 DOLPHIN RD
DALLAS, TX 75223
(32.78586, -96.737425)",75223,4/21/2015 18:52,32.78586,-96.737425,Tuesday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2015,"10900 GOODNIGHT LN
DALLAS, TX 75220
(32.877097, -96.90117)",75220,10/1/2015 12:40,32.877097,-96.90117,Thursday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2015,"1700 N CENTRAL EXPY
Dallas, TX 75201
(32.792683, -96.793136)",75201,5/25/2015 9:48,32.792683,-96.793136,Monday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2015,"10600 STONE CANYON RD
DALLAS, TX 75230
(32.891772, -96.775049)",75230,9/14/2015 10:58,32.891772,-96.775049,Monday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,Outdoor Area Public/Private,2016,"5300 UNIVERSITY HILLS BLVD
DALLAS, TX 75241
(32.681148, -96.805489)",75241,1/18/2016 6:49,32.681148,-96.805489,Monday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2015,"3600 COLONIAL AVE
DALLAS, TX 75215
(32.757487, -96.771733)",75215,8/4/2015 0:15,32.757487,-96.771733,Tuesday
ACCIDENT INVOLVING INJURY,Parking Lot (All Others),2016,"2903 ROYAL LN
DALLAS, TX 75229
(32.895218, -96.88104)",75229,4/20/2016 17:23,32.895218,-96.88104,Wednesday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2016,"5902 E MOCKINGBIRD LN
DALLAS, TX 75206
(32.836478, -96.765458)",75206,10/24/2016 14:45,32.836478,-96.765458,Monday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,Outdoor Area Public/Private,2015,"6822 PUTTING GREEN DR
DALLAS, TX 75232
(32.665051, -96.843766)",75232,7/20/2015 1:01,32.665051,-96.843766,Monday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,Gas or Service Station,2015,"12950 COIT RD
DALLAS, TX 75251
(32.923153, -96.769046)",75251,3/16/2015 2:30,32.923153,-96.769046,Monday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"6900 GASTON AVE
DALLAS, TX 75214
(32.815575, -96.739997)",75214,10/6/2014 3:13,32.815575,-96.739997,Monday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2018,"2500 CEDAR SPRINGS RD
DALLAS, TX 75201
(32.797896, -96.805425)",75201,11/29/2018 2:58,32.797896,-96.805425,Thursday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2017,"5600 E LOVERS LN
DALLAS, TX 75206
(32.851005, -96.771024)",75206,11/29/2018 13:22,32.851005,-96.771024,Thursday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2017,"2800 JEFFRIES ST
DALLAS, TX 75215
(32.77147, -96.768907)",75215,11/29/2018 13:14,32.77147,-96.768907,Thursday
ACCIDENT INVOLVING SERIOUS BODILY INJURY,"Highway, Street, Alley ETC",2015,"2700 W NORTHWEST HWY
DALLAS, TX 75220
(32.858252, -96.876033)",75220,11/25/2015 7:40,32.858252,-96.876033,Wednesday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"2234 52ND ST
DALLAS, TX 75216
(32.690784, -96.787958)",75216,9/1/2014 15:02,32.690784,-96.787958,Monday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"9200 JOHN W CARPENTER FWY
DALLAS, TX 75247
(32.827065, -96.884289)",75247,2/19/2018 12:15,32.827065,-96.884289,Monday
ACCIDENT INVOLVING SERIOUS BODILY INJURY,"Highway, Street, Alley ETC",2016,"2000 GREENVILLE AVE
DALLAS, TX 75206
(32.814046, -96.770197)",75206,5/5/2016 12:06,32.814046,-96.770197,Thursday
ACCIDENT INVOLVING INJURY,Parking Lot (All Others),2015,"2911 E LEDBETTER DR
DALLAS, TX 75216
(32.694857, -96.771562)",75216,12/22/2015 10:43,32.694857,-96.771562,Tuesday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2016,"4300 FRANKFORD RD
DALLAS, TX 75287
(32.997412, -96.833826)",75287,12/8/2016 1:14,32.997412,-96.833826,Thursday
ACCIDENT INVOLVING SERIOUS BODILY INJURY,"Highway, Street, Alley ETC",2016,"2000 LEATH ST
DALLAS, TX 75212
(32.789507, -96.85342)",75212,8/23/2016 10:15,32.789507,-96.85342,Tuesday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"2600 MANANA DR
DALLAS, TX 75220
(32.873857, -96.890089)",75220,2/19/2018 3:50,32.873857,-96.890089,Monday
ACCIDENTAL DEATH (NO OFFENSE),"Highway, Street, Alley ETC",2015,"10600 ALLEGHENY DR
DALLAS, TX 75229
(32.891281, -96.881404)",75229,12/10/2016 20:03,32.891281,-96.881404,Saturday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2014,"3100 LOMBARDY LN
DALLAS, TX 75220
(32.866419, -96.873418)",75220,8/13/2014 6:31,32.866419,-96.873418,Wednesday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,Single Family Residence - Occupied,2015,"715 MENTOR AVE
DALLAS, TX 75216
(32.688485, -96.813854)",75216,10/5/2015 5:56,32.688485,-96.813854,Monday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,Parking Lot (All Others),2014,"3155 W WHEATLAND RD
DALLAS, TX 75237
(32.647583, -96.87266)",75237,2/20/2018 10:12,32.647583,-96.87266,Tuesday
ACCIDENT INVOLVING INJURY,Motor Vehicle,2014,"1500 IRVING BLVD
DALLAS, TX 75207
(32.791655, -96.821789)",75207,10/28/2014 14:39,32.791655,-96.821789,Tuesday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"3200 PACESETTER DR
DALLAS, TX 75241
(32.662658, -96.772715)",75241,8/25/2014 3:06,32.662658,-96.772715,Monday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2016,"11800 SHILOH RD
DALLAS, TX 75228
(32.855599, -96.665668)",75228,4/28/2016 10:56,32.855599,-96.665668,Thursday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2016,"9000 ELAM RD
DALLAS, TX 75217
(32.719515, -96.665453)",75217,12/26/2016 13:57,32.719515,-96.665453,Monday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2016,"1000 W WHEATLAND RD
DALLAS, TX 75232
(32.647649, -96.838449)",75232,1/1/2017 2:51,32.647649,-96.838449,Sunday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2016,"9400 ROYAL LN
DALLAS, TX 75243
(32.893008, -96.74076)",75243,8/22/2016 9:40,32.893008,-96.74076,Monday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2016,"5000 W DAVIS ST
DALLAS, TX 75211
(32.749518, -96.908803)",75211,7/11/2016 16:21,32.749518,-96.908803,Monday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,Other,2014,"2100 DEER PATH DR
DALLAS, TX 75216
(32.711388, -96.793627)",75216,2/15/2018 10:55,32.711388,-96.793627,Thursday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"1100 W ILLINOIS AVE
DALLAS, TX 75224
(32.72031, -96.840039)",75224,2/19/2018 20:36,32.72031,-96.840039,Monday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2017,"10000 HARRY HINES BLVD
DALLAS, TX 75220
(32.858925, -96.880809)",75220,10/23/2017 16:17,32.858925,-96.880809,Monday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"6969 MCCALLUM BLVD
DALLAS, TX 75252
(32.988015, -96.783195)",75252,2/19/2018 0:08,32.988015,-96.783195,Monday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2015,"4200 N CENTRAL SERV E
DALLAS, TX 75206
(32.815562, -96.788936)",75206,5/25/2017 11:12,32.815562,-96.788936,Thursday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"9400 N CENTRAL EXPY
DALLAS, TX 75231
(32.876789, -96.769658)",75231,2/20/2018 7:41,32.876789,-96.769658,Tuesday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"1700 N CENTRAL EXPY
DALLAS, TX 75201
(32.792683, -96.793136)",75201,2/20/2018 1:16,32.792683,-96.793136,Tuesday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2015,"3400 FOREST LN
DALLAS, TX 75234
(32.909546, -96.864994)",75234,2/12/2015 10:19,32.909546,-96.864994,Thursday
ACCIDENT INVOLVING INJURY,Motor Vehicle,2015,"300 W LEDBETTER DR
DALLAS, TX 75224
(32.689431, -96.830266)",75224,3/24/2015 7:54,32.689431,-96.830266,Tuesday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"2100 SKILLMAN ST
DALLAS, TX 75206
(32.815818, -96.761529)",75206,2/20/2018 3:46,32.815818,-96.761529,Tuesday
ACCIDENT INVOLVING SERIOUS BODILY INJURY,"Highway, Street, Alley ETC",2015,"5300 MAPLE AVE
DALLAS, TX 75235
(32.817336, -96.831687)",75235,4/29/2015 1:49,32.817336,-96.831687,Wednesday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,Parking Lot (All Others),2014,"3045 N BUCKNER BLVD
DALLAS, TX 75228
(32.808791, -96.683605)",75228,8/11/2014 14:26,32.808791,-96.683605,Monday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"1600 BARNES BRIDGE RD
DALLAS, TX 75218
(32.851098, -96.680832)",75218,2/19/2018 9:41,32.851098,-96.680832,Monday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"2100 WENTWORTH ST
DALLAS, TX 75208
(32.743125, -96.853394)",75208,2/19/2018 1:38,32.743125,-96.853394,Monday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,Single Family Residence - Occupied,2014,"2607 WINTER OAK ST
DALLAS, TX 75227
(32.756032, -96.641425)",75227,2/15/2018 10:27,32.756032,-96.641425,Thursday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"3510 INDIANOLA ST
DALLAS, TX 75227
(32.767143, -96.675998)",75227,2/19/2018 9:20,32.767143,-96.675998,Monday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,Parking Lot (All Others),2014,"2843 E LEDBETTER DR
DALLAS, TX 75216
(32.694029, -96.773248)",75216,2/20/2018 9:48,32.694029,-96.773248,Tuesday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2016,"6300 SCYENE RD
DALLAS, TX 75227
(32.765165, -96.71499)",75227,1/2/2017 14:33,32.765165,-96.71499,Monday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,Parking Lot (All Others),2015,"2525 FRANKFORD RD
DALLAS, TX 75287
(32.996878, -96.871044)",75287,8/24/2015 22:45,32.996878,-96.871044,Monday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,Parking Lot (All Others),2014,"6100 LUTHER LN
DALLAS, TX 75225
(32.863614, -96.806331)",75225,8/25/2014 6:52,32.863614,-96.806331,Monday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2016,"4100 MAPLE AVE
DALLAS, TX 75219
(32.806674, -96.816889)",75219,2/4/2017 14:03,32.806674,-96.816889,Saturday
ACCIDENT INVOLVING SERIOUS BODILY INJURY,"Highway, Street, Alley ETC",2016,"2665 LOMBARDY LN
DALLAS, TX 75220
(32.866444, -96.885075)",75220,5/30/2016 13:25,32.866444,-96.885075,Monday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2015,"4100 MCKINNEY AVE
DALLAS, TX 75204
(32.813981, -96.792101)",75204,10/15/2015 16:48,32.813981,-96.792101,Thursday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2015,"3400 MAHANNA ST
DALLAS, TX 75235
(32.823073, -96.8208)",75235,1/21/2015 23:11,32.823073,-96.8208,Wednesday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2016,"600 S WESTMORELAND RD
DALLAS, TX 75211
(32.739543, -96.87412)",75211,6/2/2016 6:59,32.739543,-96.87412,Thursday
ACCIDENTAL DEATH (NO OFFENSE),Outdoor Area Public/Private,2016,"4750 PEAR RIDGE DR
DALLAS, TX 75287
(33.004479, -96.82481)",75287,12/5/2016 22:15,33.004479,-96.82481,Monday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2016,"1500 S BELT LINE RD
DALLAS, TX 75253
(32.680699, -96.597049)",75253,7/18/2016 12:33,32.680699,-96.597049,Monday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"7400 BONNIE VIEW RD
DALLAS, TX 75241
(32.656712, -96.750342)",75241,8/30/2014 11:53,32.656712,-96.750342,Saturday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"5400 E MOCKINGBIRD LN
DALLAS, TX 75206
(32.8365, -96.774889)",75206,9/9/2014 22:34,32.8365,-96.774889,Tuesday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"8422 CADENZA LN
DALLAS, TX 75228
(32.809283, -96.680226)",75228,10/14/2014 9:33,32.809283,-96.680226,Tuesday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"4400 W ILLINOIS AVE
DALLAS, TX 75211
(32.72029, -96.891529)",75211,2/20/2018 9:21,32.72029,-96.891529,Tuesday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2015,"6000 SAMUELL BLVD
DALLAS, TX 75228
(32.792163, -96.698169)",75228,10/7/2015 8:02,32.792163,-96.698169,Wednesday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2015,"2100 W NORTHWEST HWY
DALLAS, TX 75220
(32.866347, -96.905765)",75220,8/20/2015 23:16,32.866347,-96.905765,Thursday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"3300 W KIEST BLVD
DALLAS, TX 75233
(32.705308, -96.874401)",75233,2/19/2018 0:55,32.705308,-96.874401,Monday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2016,"8500 S LANCASTER RD
DALLAS, TX 75241
(32.644593, -96.780081)",75241,5/7/2016 15:03,32.644593,-96.780081,Saturday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"4200 MARVIN D LOVE FWY
Dallas, TX 48232
(32.692694, -96.844134)",48232,2/20/2018 2:10,32.692694,-96.844134,Tuesday
ACCIDENT INVOLVING INJURY,Motor Vehicle,2014,"3000 GREAT TRINITY FOREST WAY
DALLAS, TX 75216
(32.69596, -96.767714)",75216,1/25/2015 14:41,32.69596,-96.767714,Sunday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"9100 SCYENE RD
DALLAS, TX 75227
(32.763313, -96.666735)",75227,11/18/2014 6:38,32.763313,-96.666735,Tuesday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2015,"10600 FOREST LN
DALLAS, TX 75243
(32.90897, -96.702206)",75243,1/1/2016 8:23,32.90897,-96.702206,Friday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2015,"3200 ALTA MESA DR
DALLAS, TX 75241
(32.659102, -96.770005)",75241,10/18/2015 21:31,32.659102,-96.770005,Sunday
ACCIDENT INVOLVING INJURY,Parking Lot (All Others),2015,"8687 N CENTRAL EXPY
DALLAS, TX 75225
(32.86875, -96.770691)",75225,1/18/2016 14:59,32.86875,-96.770691,Monday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"5251 SPRING VALLEY RD
DALLAS, TX 75254
(32.939563, -96.818853)",75254,2/19/2018 21:33,32.939563,-96.818853,Monday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2016,"700 W KIEST BLVD
DALLAS, TX 75224
(32.705365, -96.83589)",75224,3/15/2016 11:46,32.705365,-96.83589,Tuesday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2014,"100 W JEFFERSON BLVD
DALLAS, TX 75208
(32.743486, -96.822835)",75208,2/19/2018 14:01,32.743486,-96.822835,Monday
ACCIDENTAL DEATH (NO OFFENSE),Single Family Residence - Occupied,2014,"1606 AVENUE B
DALLAS, TX 75203
(32.745033, -96.798818)",75203,2/20/2018 12:08,32.745033,-96.798818,Tuesday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2015,"5800 MARVIN D LOVE FWY
DALLAS, TX 75237
(32.676247, -96.856617)",75237,7/10/2015 5:55,32.676247,-96.856617,Friday
ACCIDENT INVOLVING INJURY,Restaurant/Food Service/TABC Location,2015,"6355 E MOCKINGBIRD LN
Dallas, TX 75214
(32.836529, -96.753301)",75214,5/17/2015 6:07,32.836529,-96.753301,Sunday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,Motor Vehicle,2014,"100 N BISHOP AVE
DALLAS, TX 75208
(32.74509, -96.828302)",75208,2/19/2018 17:25,32.74509,-96.828302,Monday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2014,"200 N LAMAR ST
DALLAS, TX 75202
(32.779811, -96.804351)",75202,12/6/2014 14:24,32.779811,-96.804351,Saturday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2015,"3900 N CENTRAL EXPY
DALLAS, TX 75204
(32.80732, -96.792843)",75204,12/10/2015 10:48,32.80732,-96.792843,Thursday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"14000 MAHAM RD
DALLAS, TX 75240
(32.93842, -96.761169)",75240,2/19/2018 18:49,32.93842,-96.761169,Monday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2014,"4100 W NORTHWEST HWY
DALLAS, TX 75220
(32.863785, -96.842749)",75220,11/12/2014 8:47,32.863785,-96.842749,Wednesday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"3100 W CAMP WISDOM RD
DALLAS, TX 75237
(32.662047, -96.870879)",75237,8/27/2014 8:09,32.662047,-96.870879,Wednesday
